Den	Hodina	Průměrná obsazenost
Ne	8	0,00
Ne	9	17,25
Ne	10	20,67
Ne	11	17,00
Ne	12	19,60
Ne	13	17,67
Ne	14	21,60
Ne	15	24,09
Ne	16	26,25
Ne	17	24,22
Ne	18	29,83
Ne	19	16,00
Ne	20	0,00
Po	8	0,00
Po	9	8,67
Po	10	12,83
Po	11	13,50
Po	12	11,36
Po	13	13,00
Po	14	15,20
Po	15	14,43
Po	16	16,57
Po	17	18,50
Po	18	24,00
Po	19	25,67
Po	20	12,75
Po	21	3,00
Pá	8	0,33
Pá	9	14,50
Pá	10	19,00
Pá	11	17,00
Pá	12	14,75
Pá	13	17,00
Pá	14	25,33
Pá	15	26,50
Pá	16	26,25
Pá	17	26,80
Pá	18	29,71
Pá	19	29,50
Pá	20	19,22
Pá	21	0,00
So	8	0,00
So	9	9,17
So	10	9,75
So	11	17,29
So	12	20,78
So	13	15,33
So	14	19,33
So	15	23,25
So	16	26,25
So	17	27,33
So	18	28,00
So	19	15,40
So	20	0,60
So	21	0,00
St	8	0,00
St	9	12,33
St	10	17,00
St	11	18,50
St	12	15,71
St	13	12,50
St	14	15,00
St	15	16,75
St	16	29,00
St	17	30,00
St	18	30,00
St	19	30,00
St	20	16,67
St	21	1,00
Út	8	0,00
Út	9	7,25
Út	10	12,13
Út	11	12,71
Út	12	13,78
Út	13	9,67
Út	14	21,00
Út	15	22,50
Út	16	27,00
Út	17	29,33
Út	18	28,80
Út	19	28,00
Út	20	18,20
Út	21	0,50
Čt	8	0,00
Čt	9	11,33
Čt	10	14,50
Čt	11	13,25
Čt	12	11,00
Čt	13	13,50
Čt	14	12,67
Čt	15	22,80
Čt	16	23,50
Čt	17	22,67
Čt	18	26,00
Čt	19	25,00
Čt	20	9,57
